Tag,Final_Label
submitchanges,Database Concepts
aws-sdk-java-2.0,Platform/Server
log4javascript,Programming Language
int,Programming Concepts
hybrid-mobile-app,Framework/Library
virtualenv,Programming Concepts
passport.js,Programming Concepts
user-input,Programming Concepts
openstack-keystone,Platform/Server
testcase,Programming Concepts
carthage,Framework/Library
aws-cloudwatch-log-insights,Platform/Server
homebrew,Framework/Library
fgetcsv,Programming Concepts
android-emulator,Tool/IDE
c++-cli,Programming Language
rhel7,Operating System (OS)
rust-warp,Programming Language
windows-server-2008,Platform/Server
module-info,Programming Concepts
xunit.net,Tool/IDE
iis-7,Platform/Server
vps,Platform/Server
exception,Programming Concepts
pentaho-design-studio,Tool/IDE
rubocop,Programming Language
traefik,Framework/Library
tomcat8,Platform/Server
overriding,Programming Concepts
magic-methods,Programming Concepts
graalvm,Tool/IDE
gitversion,Tool/IDE
spam-prevention,Other
facebook-scribe,Platform/Server
apache-phoenix,Platform/Server
build-error,Tool/IDE
biginteger,Programming Concepts
cocos2d-iphone,Framework/Library
asp-net-core-spa-services,Programming Concepts
moss,Programming Concepts
python-rq,Programming Language
firebase-storage,Platform/Server
jtextpane,Programming Concepts
keyword-argument,Programming Concepts
biometrics,Programming Concepts
font-awesome,Programming Concepts
unreliable-connection,Programming Concepts
spring-java-config,Programming Concepts
cs4,Programming Concepts
django-1.10,Framework/Library
python-unicode,Programming Concepts
ampl,Programming Concepts
nsq,Platform/Server
variables,Programming Concepts
join,Database Concepts
format-string,Programming Concepts
hgsubversion,Framework/Library
lando,Framework/Library
rmagick,Framework/Library
geode,Programming Concepts
pydantic,Framework/Library
slack,Tool/IDE
signalfx,Platform/Server
git-flow,DevOps Tools
iis-5,Platform/Server
phonegap,Framework/Library
flashback,Database Concepts
prometheus,Tool/IDE
accumulo,Tool/IDE
getattr,Programming Concepts
quantization,Machine Learning Concepts
bind,Programming Concepts
vuejs2,Framework/Library
chord-diagram,Programming Concepts
jsr352,Programming Concepts
nodes,Framework/Library
rrdtool,Tool/IDE
security,Security Concepts
symfony-3.3,Framework/Library
yolov4,Machine Learning Concepts
browser-history,Security Concepts
sanitization,Security Concepts
detection,Security Concepts
line,Programming Concepts
apache,Platform/Server
facebook-audience-network,Framework/Library
jtextcomponent,Programming Concepts
nginx-ingress,Platform/Server
lcc-win32,Programming Concepts
nodemon,Tool/IDE
selenium-extent-report,Framework/Library
user-profile,Programming Concepts
spi,Operating System (OS)
protected,Security Concepts
google-sheets-api,Programming Concepts
newsletter,Other
tibco,Platform/Server
amazon-elastic-beanstalk,Platform/Server
salesforce,Platform/Server
ios4,Operating System (OS)
terminate,Programming Concepts
google-chrome,Tool/IDE
django-cms,Framework/Library
oracle-apex,Platform/Server
volume,Database Concepts
winston,Framework/Library
eval,Machine Learning Concepts
probe,Programming Concepts
gyroscope,Tool/IDE
imblearn,Machine Learning Concepts
internal,Programming Concepts
classloader,Programming Concepts
appkit,Tool/IDE
gitlab-api,DevOps Tools
spark-ar-studio,Tool/IDE
eventsource,Programming Concepts
ngrx,Framework/Library
vcs-checkout,Tool/IDE
ssmtp,Tool/IDE
android-12,Programming Language
mod-perl2,Tool/IDE
linq-to-xml,Programming Concepts
testng-eclipse,Tool/IDE
azure-ad-b2c,Tool/IDE
phpfox,Platform/Server
autogpt,Machine Learning Concepts
celluloid,Programming Concepts
sequelize-typescript,Programming Concepts
oracle-adf,Framework/Library
elasticsearch-painless,Programming Language
runjettyrun,Tool/IDE
rescue,Tool/IDE
chilkat,Framework/Library
mavanagaiata,Tool/IDE
archlinux-arm,Operating System (OS)
accountmanager,Programming Concepts
gbk,Tool/IDE
google-closure-library,Framework/Library
iboutletcollection,Programming Concepts
google-cloud-kms,Platform/Server
umbraco7,Framework/Library
react-context,Framework/Library
jakarta-migration,Platform/Server
bamboo,DevOps Tools
text-classification,Machine Learning Concepts
rc4-cipher,Tool/IDE
gitlab,DevOps Tools
mod-proxy-wstunnel,Tool/IDE
camera,Tool/IDE
samsung-mobile,Programming Language
postgresql-11,Tool/IDE
minify,Programming Concepts
spark-framework,Framework/Library
keras-2,Machine Learning Concepts
facebooker,Tool/IDE
testng,Framework/Library
selenide,Framework/Library
pyarrow,Framework/Library
loopback3,Framework/Library
azure-webapps,Platform/Server
azure-log-analytics,Tool/IDE
darcs,Tool/IDE
jwilder-nginx-proxy,Tool/IDE
indexing,Programming Concepts
azure-secrets,Tool/IDE
interception,Security Concepts
winui,Framework/Library
blog-engine,Platform/Server
webdriver-manager,Framework/Library
pi,Programming Concepts
credential-manager,Security Concepts
haml,Programming Language
cut,Programming Concepts
pyramid,Programming Concepts
teamcity,DevOps Tools
put,Programming Concepts
simevents,Tool/IDE
olap,Database Concepts
google-play,Platform/Server
fill,Programming Concepts
maps,Programming Concepts
uitextfield,Programming Concepts
dwr,Framework/Library
rjdbc,Programming Concepts
webapi2,Framework/Library
rails-i18n,Programming Concepts
collections,Database Concepts
netstat,Tool/IDE
elixir-mix,Tool/IDE
load-data-infile,Database Concepts
twistd,Framework/Library
reporting-services,Database Concepts
mysql-5.1,Tool/IDE
hive-metastore,Database Concepts
bearer-token,Security Concepts
apache-commons,Platform/Server
method-modifier,Programming Concepts
dllimport,Programming Concepts
genexus,Platform/Server
serilog.sinks.mssqlserver,Database Concepts
atlasboard,Framework/Library
servicemanager,Programming Concepts
capacitor,Programming Concepts
httpconnection,Tool/IDE
docker-for-mac,DevOps Tools
kvm,Tool/IDE
gssapi,Security Concepts
fileutils,Programming Concepts
mathematica-8,Programming Concepts
guid,Programming Concepts
php-7.4,Programming Language
least-squares,Machine Learning Concepts
filenotfoundexception,Programming Concepts
jtidy,Programming Concepts
fft,Other
event-dispatch-thread,Programming Concepts
citrus-framework,Framework/Library
jdo,Programming Concepts
oracle,Tool/IDE
versionupgrade,Operating System (OS)
alluxio,Platform/Server
nsmanagedobjectcontext,Programming Concepts
apache-fop,Platform/Server
machinist,Other
pointer-address,Programming Concepts
symfony6,Framework/Library
nedb,Database Concepts
processors,Operating System (OS)
mediator,Programming Concepts
installscript,Programming Concepts
colorbar,Programming Concepts
webtrends,Programming Concepts
runtime,Programming Concepts
javafx-8,Framework/Library
zeroconf,Platform/Server
tankauth,Framework/Library
delta-live-tables,Database Concepts
uwp,Other
capistrano3,Framework/Library
ib-insync,Framework/Library
dll,Tool/IDE
variadic-macros,Operating System (OS)
engineyard,Platform/Server
projector,Tool/IDE
lxd,Framework/Library
waffle,Other
vhosts,Platform/Server
low-latency,Programming Concepts
jaybird,Other
notifications,Programming Concepts
quickfix,Framework/Library
graphexp,Tool/IDE
promise,Programming Concepts
underscore-java,Programming Concepts
configuration-management,Programming Concepts
mouse,Tool/IDE
web-parts,Programming Concepts
process,Operating System (OS)
ipsec,Programming Concepts
docker-in-docker,DevOps Tools
outlook,Tool/IDE
refined,Programming Concepts
adt,Programming Concepts
bacula,Tool/IDE
foursquare,Programming Concepts
seq2seq,Machine Learning Concepts
xpointer,Framework/Library
runnable-jar,Programming Concepts
